#COD_MUNICIPIO_CADMU,NOME_MUNICIPIO,COD_MUNICIPIO_IBGE,COD_UF,NOME_UF,COD_UF_IBGE
6255,BOM DESPACHO,3107406,MG,MINAS GERAIS,31
15002,SÃO NICOLAU,4319208,RS,RIO GRANDE DO SUL,43
41021,AMERICANO DO BRASIL,5200852,GO,GOIÁS,52
11635,REGENTE FEIJÓ,3542404,SP,SÃO PAULO,35
42271,WANDERLEY,2933455,BA,BAHIA,29
4783,GUARACI,4109203,PR,PARANÁ,41
24938,SENADOR MODESTINO GONÇALVES,3165909,MG,MINAS GERAIS,31
6200,GOIANINHA,2404200,RN,RIO GRANDE DO NORTE,24
37420,SÃO MIGUEL DO ALEIXO,2807006,SE,SERGIPE,28
16630,SIMÕES,2210706,PI,PIAUÍ,22
25944,FORMOSO DO ARAGUAIA,1708205,TO,TOCANTINS,17
16881,FLÓRIDA,4108106,PR,PARANÁ,41
43218,ALTO ALEGRE,4300554,RS,RIO GRANDE DO SUL,43
22837,CUMARI,5206602,GO,GOIÁS,52
22473,CRISSIUMAL,4306007,RS,RIO GRANDE DO SUL,43
3375,AMARGOSA,2901007,BA,BAHIA,29
44530,CIDREIRA,4305454,RS,RIO GRANDE DO SUL,43
37341,SARANDI,4320107,RS,RIO GRANDE DO SUL,43
34722,ANAPURUS,2100808,MA,MARANHÃO,21
27007,ITABI,2803104,SE,SERGIPE,28
39064,ALVORADA DO NORTE,5200803,GO,GOIÁS,52
18559,AVARÉ,3504503,SP,SÃO PAULO,35
20224,ICARAÍMA,4109906,PR,PARANÁ,41
31660,MURITIBA,2922300,BA,BAHIA,29
45742,IBEMA,4109757,PR,PARANÁ,41
50926,PORTO WALTER,1200393,AC,ACRE,12
54159,MARIANA PIMENTEL,4311981,RS,RIO GRANDE DO SUL,43
33060,SANTA MARIA DE ITABIRA,3158003,MG,MINAS GERAIS,31
50861,VITÓRIA DO XINGU,1508357,PA,PARÁ,15
31574,LUCIANÓPOLIS,3527504,SP,SÃO PAULO,35
58193,LAGOA SANTA,5212253,GO,GOIÁS,52
56047,SOORETAMA,3205010,ES,ESPÍRITO SANTO,32
27698,SANTO ANTÔNIO DA PLATINA,4124103,PR,PARANÁ,41
56195,SÃO DOMINGOS,2513968,PB,PARAÍBA,25
49195,SÃO JOSÉ DA VITÓRIA,2929354,BA,BAHIA,29
6169,PORANGATU,5218003,GO,GOIÁS,52
25652,ELDORADO,3514809,SP,SÃO PAULO,35
29115,REALEZA,4121406,PR,PARANÁ,41
39284,ANTÔNIO PRADO DE MINAS,3103108,MG,MINAS GERAIS,31
5081,VARJÃO,5221908,GO,GOIÁS,52
36184,JURUTI,1503903,PA,PARÁ,15
55165,JATOBÁ DO PIAUÍ,2205276,PI,PIAUÍ,22
36737,FAZENDA NOVA,5207600,GO,GOIÁS,52
14522,JACINTO,3134707,MG,MINAS GERAIS,31
44808,ARAME,2100956,MA,MARANHÃO,21
8002,CÉU AZUL,4105300,PR,PARANÁ,41
41894,MANAQUIRI,1302553,AM,AMAZONAS,13
55189,JOCA MARQUES,2205458,PI,PIAUÍ,22
6994,SÃO MIGUEL,2412500,RN,RIO GRANDE DO NORTE,24
51530,GLÓRIA D'OESTE,5103957,MT,MATO GROSSO,51
9960,CAMPO DO BRITO,2801009,SE,SERGIPE,28
37657,PANCAS,3204005,ES,ESPÍRITO SANTO,32
2493,JECEABA,3135407,MG,MINAS GERAIS,31
57840,MATO QUEIMADO,4312179,RS,RIO GRANDE DO SUL,43
46428,CARAÍBAS,2906899,BA,BAHIA,29
